livre;chapitre;verset_de;verset_a;traduction;code;paragraphe
Actes;1;8;8;SKN;57-0115;76
Actes;1;8;8;SKN;57-0725;16
Actes;1;8;8;SKN;58-0315;45
Actes;1;8;8;SKN;58-0510;39
Actes;1;8;8;SKN;59-1216;101
Actes;1;8;8;SKN;60-0911E;72
Actes;1;8;8;SKN;60-0911E;73
Actes;1;8;8;SKN;60-0911E;80
Actes;1;8;8;SKN;62-0120;46
Actes;1;8;8;SKN;62-0607;84
Actes;1;8;8;SKN;62-0909M;26
Actes;1;8;8;SKN;62-1007;141
Actes;1;8;8;SKN;62-1013;151
Actes;1;8;8;VGR;54-0515;90
Actes;1;8;8;VGR;56-1125M;114
Actes;1;8;8;VGR;59-1216;101
Actes;1;8;8;VGR;60-0911E;72
Actes;1;8;8;VGR;60-0911E;73
Actes;1;8;8;VGR;60-0911E;80
Actes;1;8;8;VGR;62-0909M;39
Actes;1;8;8;VGR;62-1007;141
Actes;1;8;8;VGR;62-1013;152
Actes;2;0;0;SKN;52-0716;30
Actes;2;0;0;SKN;53-1111;13
Actes;2;0;0;SKN;53-1112;2
Actes;2;0;0;SKN;54-0103M;42
Actes;2;0;0;SKN;54-0514;257
Actes;2;0;0;SKN;54-0515;102
Actes;2;0;0;SKN;54-0809A;49
Actes;2;0;0;SKN;54-1024;111
Actes;2;0;0;SKN;54-1231;68
Actes;2;0;0;SKN;55-0302;20
Actes;2;0;0;SKN;55-0625;38
Actes;2;0;0;SKN;55-0806;42
Actes;2;0;0;SKN;55-0815;31
Actes;2;0;0;SKN;55-1008;66
Actes;2;0;0;SKN;55-1113;63
Actes;2;0;0;SKN;56-0115;2
Actes;2;0;0;SKN;56-0121;56
Actes;2;0;0;SKN;56-0122;29
Actes;2;0;0;SKN;56-0403;47
Actes;2;0;0;SKN;56-0406;33
Actes;2;0;0;SKN;56-0419;42
Actes;2;0;0;SKN;56-1004;41
Actes;2;0;0;SKN;57-0115;78
Actes;2;0;0;SKN;57-0126B;52
Actes;2;0;0;SKN;57-0925;108
Actes;2;0;0;SKN;57-0925;158
Actes;2;0;0;SKN;57-0925;213
Actes;2;0;0;SKN;58-0316A;79
Actes;2;0;0;SKN;58-0523;38
Actes;2;0;0;SKN;58-0927;133
Actes;2;0;0;SKN;58-0927;187
Actes;2;0;0;SKN;58-0927;188
Actes;2;0;0;SKN;59-0418;35
Actes;2;0;0;SKN;59-1115;93
Actes;2;0;0;SKN;59-1216;97
Actes;2;0;0;SKN;59-1219;33
Actes;2;0;0;SKN;59-1223;168
Actes;2;0;0;SKN;60-0724;49
Actes;2;0;0;SKN;60-0807;13
