livre;chapitre;verset_de;verset_a;traduction;code;paragraphe
Jean;1;0;0;VGR;65-1206;30
Jean;1;1;1;SKN;64-0319;36
Jean;1;1;1;SKN;65-0822M;16
Jean;1;1;1;SKN;65-1206;258
Jean;1;1;1;VGR;65-0822M;16
Jean;1;1;1;VGR;65-1206;258
Jean;1;4;4;VGR;56-0715;47
Jean;1;5;5;SKN;61-0101;171
Jean;1;5;5;VGR;61-0101;165
Jean;1;8;8;VGR;59-1223;139
Jean;1;8;8;VGR;59-1223;140
Jean;1;14;14;SKN;65-0822M;54
Jean;1;14;14;VGR;65-0822M;54
Jean;1;17;17;SKN;60-0518;114
Jean;1;17;17;VGR;60-0518;114
Jean;1;26;26;SKN;65-1126;188
Jean;1;26;26;VGR;65-1126;188
Jean;2;1;1;VGR;59-1216;60
Jean;2;12;12;VGR;59-1216;60
Jean;2;15;15;SKN;65-0919;175
Jean;2;15;15;SKN;65-1031M;229
Jean;2;15;15;VGR;65-0919;175
Jean;2;15;15;VGR;65-1031M;229
Jean;2;15;15;VGR;65-1125;174
Jean;3;0;0;SKN;53-1129A;25
Jean;3;0;0;SKN;54-1114;15
Jean;3;0;0;SKN;54-1114;16
Jean;3;0;0;SKN;54-1204;33
Jean;3;0;0;SKN;54-1212;62
Jean;3;0;0;SKN;55-0115;28
Jean;3;0;0;SKN;55-1008;73
Jean;3;0;0;SKN;55-1111;84
Jean;3;0;0;SKN;56-0122;111
Jean;3;0;0;SKN;57-0104;24
Jean;3;0;0;SKN;58-0209E;41
Jean;3;0;0;SKN;58-0612;39
Jean;3;0;0;SKN;58-0619B;21
Jean;3;0;0;SKN;59-0628E;129
Jean;3;0;0;SKN;61-0425B;180
Jean;3;0;0;SKN;61-1105;65
Jean;3;0;0;SKN;61-1231M;27
Jean;3;0;0;SKN;62-0318M;28
Jean;3;0;0;SKN;62-1014M;78
Jean;3;0;0;SKN;62-1111E;59
Jean;3;0;0;SKN;63-0804E;53
Jean;3;0;0;VGR;54-1114;49
Jean;3;0;0;VGR;54-1114;53
Jean;3;0;0;VGR;54-1212;62
Jean;3;0;0;VGR;56-0122;296
Jean;3;0;0;VGR;59-0628E;129
Jean;3;0;0;VGR;59-1219;29
Jean;3;0;0;VGR;61-0425B;180
Jean;3;0;0;VGR;61-1231M;27
Jean;3;0;0;VGR;62-0318M;161
Jean;3;0;0;VGR;62-1014M;98
Jean;3;0;0;VGR;62-1111E;60
Jean;3;1;12;SKN;61-1231M;26
Jean;3;1;12;VGR;61-1231M;26
Jean;3;3;3;SKN;59-1219;29
Jean;3;5;5;SKN;60-0911E;163
Jean;3;5;5;SKN;62-0318M;28
Jean;3;5;5;VGR;60-0911E;163
Jean;3;5;5;VGR;62-0318M;120
Jean;3;10;10;SKN;65-0801M;135
Jean;3;10;10;VGR;65-0801M;135
Jean;3;14;14;SKN;62-0318M;28
Jean;3;14;14;SKN;63-0428;155
Jean;3;14;14;VGR;62-0318M;135
Jean;3;16;16;SKN;50-0821;9
Jean;3;16;16;SKN;53-1115M;81
Jean;3;16;16;SKN;53-1130;21
Jean;3;16;16;SKN;54-0304;46
Jean;3;16;16;SKN;54-0330;73
Jean;3;16;16;SKN;55-1007;60
Jean;3;16;16;SKN;55-1008;20
Jean;3;16;16;SKN;56-0726;19
Jean;3;16;16;SKN;57-0126B;51
Jean;3;16;16;SKN;57-0126E;20
Jean;3;16;16;SKN;57-0126E;26
Jean;3;16;16;SKN;57-0126E;28
Jean;3;16;16;SKN;57-0126E;146
Jean;3;16;16;SKN;57-0414;95
Jean;3;16;16;SKN;57-0519E;8
Jean;3;16;16;SKN;57-0519E;12
Jean;3;16;16;SKN;57-0806;12
Jean;3;16;16;SKN;58-0314;2
Jean;3;16;16;SKN;58-0314;8
Jean;3;16;16;SKN;58-0316A;79
Jean;3;16;16;SKN;58-1228;127
Jean;3;16;16;SKN;59-0403;9
Jean;3;16;16;SKN;59-0613;47
Jean;3;16;16;SKN;59-0708E;2
Jean;3;16;16;SKN;59-1219;29
Jean;3;16;16;SKN;62-0318E;1
Jean;3;16;16;SKN;62-0408;26
Jean;3;16;16;SKN;62-0725;11
Jean;3;16;16;SKN;62-1014M;151
Jean;3;16;16;SKN;62-1104M;157
Jean;3;16;16;SKN;62-1209;43
Jean;3;16;16;SKN;62-1231;14
Jean;3;16;16;SKN;63-0120E;86
Jean;3;16;16;SKN;63-0123;48
Jean;3;16;16;SKN;63-0123;86
Jean;3;16;16;SKN;63-0127;63
Jean;3;16;16;SKN;63-0317M;392
Jean;3;16;16;SKN;63-0412E;255
Jean;3;16;16;SKN;63-0606;11
Jean;3;16;16;SKN;63-1214;124
Jean;3;16;16;SKN;63-1222;27
Jean;3;16;16;SKN;63-1222;32
Jean;3;16;16;SKN;63-1222;34
Jean;3;16;16;SKN;64-0216;19
Jean;3;16;16;SKN;64-0416;235
Jean;3;16;16;SKN;64-0417;32
Jean;3;16;16;SKN;64-0427;85
Jean;3;16;16;SKN;64-0726E;88
Jean;3;16;16;SKN;65-0123;153
Jean;3;16;16;SKN;65-0124;46
Jean;3;16;16;SKN;65-0426;212
Jean;3;16;16;VGR;54-0330;73
Jean;3;16;16;VGR;58-1228;127
Jean;3;16;16;VGR;59-1219;29
Jean;3;16;16;VGR;62-0318M;403
Jean;3;16;16;VGR;62-1014M;194
Jean;3;16;16;VGR;62-1104M;178
Jean;3;16;16;VGR;62-1209;46
Jean;3;16;16;VGR;62-1231;14
Jean;3;16;16;VGR;63-0123;48
Jean;3;16;16;VGR;63-0123;86
Jean;3;16;16;VGR;63-0317M;392
Jean;3;16;16;VGR;63-1214;124
Jean;3;16;16;VGR;64-0416;235
Jean;3;16;16;VGR;64-0417;32
Jean;3;16;16;VGR;64-0427;256
Jean;3;16;16;VGR;64-0726E;88
Jean;3;16;16;VGR;65-0123;154
Jean;3;16;16;VGR;65-0124;65
Jean;3;16;16;VGR;65-0426;356
Jean;3;21;21;SKN;63-0825E;65
Jean;3;21;21;VGR;63-0825E;65
Jean;3;21;21;VGR;63-0825E;66
Jean;3;31;31;SKN;61-1105;65
Jean;4;0;0;SKN;51-0508;22
Jean;4;0;0;SKN;51-0729A;34
Jean;4;0;0;SKN;53-0506;10
Jean;4;0;0;SKN;53-0513;24
Jean;4;0;0;SKN;53-0829;6
Jean;4;0;0;SKN;53-1204;63
Jean;4;0;0;SKN;55-0400;105
Jean;4;0;0;SKN;55-0819;30
Jean;4;0;0;SKN;55-1001;83
Jean;4;0;0;SKN;56-0406;68
Jean;4;0;0;SKN;56-0613;70
Jean;4;0;0;SKN;56-0814;71
Jean;4;0;0;SKN;57-0114;113
Jean;4;0;0;SKN;57-0115;90
Jean;4;0;0;SKN;57-0127E;62
Jean;4;0;0;SKN;57-0127E;80
Jean;4;0;0;SKN;57-0226;42
Jean;4;0;0;SKN;57-0308;53
Jean;4;0;0;SKN;57-0322;80
Jean;4;0;0;SKN;57-0326;115
Jean;4;0;0;SKN;57-0421E;103
Jean;4;0;0;SKN;57-0610;71
Jean;4;0;0;SKN;57-0808;75
Jean;4;0;0;SKN;57-0901M;165
Jean;4;0;0;SKN;57-0908E;358
Jean;4;0;0;SKN;57-1213;71
Jean;4;0;0;SKN;57-1213;72
Jean;4;0;0;SKN;57-1213;80
Jean;4;0;0;SKN;58-0207;68
Jean;4;0;0;SKN;58-0223;65
Jean;4;0;0;SKN;58-0225;3
Jean;4;0;0;SKN;58-0301E;51
Jean;4;0;0;SKN;58-0309E;132
Jean;4;0;0;SKN;58-0325;53
Jean;4;0;0;SKN;58-0329;39
Jean;4;0;0;SKN;58-0501;46
Jean;4;0;0;SKN;58-0508;51
Jean;4;0;0;SKN;58-0510;65
Jean;4;0;0;SKN;58-0515;55
Jean;4;0;0;SKN;58-0521;69
Jean;4;0;0;SKN;58-0523;61
Jean;4;0;0;SKN;58-0524;64
Jean;4;0;0;SKN;58-0524;65
Jean;4;0;0;SKN;58-0612;39
Jean;4;0;0;SKN;58-0612;72
Jean;4;0;0;SKN;58-0613;70
Jean;4;0;0;SKN;58-0619E;34
Jean;4;0;0;SKN;58-0619E;59
Jean;4;0;0;SKN;58-0620;61
Jean;4;0;0;SKN;58-0620;62
Jean;4;0;0;SKN;58-0625;77
Jean;4;0;0;SKN;58-1005E;229
Jean;4;0;0;SKN;58-1221M;105
Jean;4;0;0;SKN;59-0125;90
Jean;4;0;0;SKN;59-0329E;53
Jean;4;0;0;SKN;59-0404;36
Jean;4;0;0;SKN;59-0405E;50
Jean;4;0;0;SKN;59-0405E;59
Jean;4;0;0;SKN;59-0407;59
Jean;4;0;0;SKN;59-0408;42
Jean;4;0;0;SKN;59-0412E;58
Jean;4;0;0;SKN;59-0418;69
Jean;4;0;0;SKN;59-0418;71
Jean;4;0;0;SKN;59-0422;32
Jean;4;0;0;SKN;59-0422;60
Jean;4;0;0;SKN;59-0424E;82
Jean;4;0;0;SKN;59-0525;43
Jean;4;0;0;SKN;59-0612;67
Jean;4;0;0;SKN;59-0707;55
Jean;4;0;0;SKN;59-1129;203
Jean;4;0;0;SKN;60-0329;48
Jean;4;0;0;SKN;60-0401E;72
Jean;4;0;0;SKN;60-0403;191
Jean;4;0;0;SKN;60-0403;232
Jean;4;0;0;SKN;60-0604;60
Jean;4;0;0;SKN;60-0606;62
Jean;4;0;0;SKN;60-0609;65
Jean;4;0;0;SKN;60-0609;66
Jean;4;0;0;SKN;60-0708;38
Jean;4;0;0;SKN;60-0709;41
Jean;4;0;0;SKN;60-0713;101
Jean;4;0;0;SKN;60-0805;86
Jean;4;0;0;SKN;60-1127E;95
Jean;4;0;0;SKN;61-0118;86
Jean;4;0;0;SKN;61-0205E;61
Jean;4;0;0;SKN;61-0205E;84
Jean;4;0;0;SKN;61-0205E;88
Jean;4;0;0;SKN;61-0208;62
Jean;4;0;0;SKN;61-0212E;43
Jean;4;0;0;SKN;61-0212E;70
Jean;4;0;0;SKN;61-0212E;71
Jean;4;0;0;SKN;61-0219;85
Jean;4;0;0;SKN;61-0224;102
Jean;4;0;0;SKN;61-0409;66
Jean;4;0;0;SKN;61-0521;88
Jean;4;0;0;SKN;61-0521;90
Jean;4;0;0;SKN;61-0827;220
Jean;4;0;0;SKN;62-0122;126
Jean;4;0;0;SKN;62-0122;130
Jean;4;0;0;SKN;62-0123;129
Jean;4;0;0;SKN;62-0218;273
Jean;4;0;0;SKN;62-0620;84
Jean;4;0;0;SKN;62-0704;217
Jean;4;0;0;SKN;62-0712;95
Jean;4;0;0;SKN;62-0718;94
Jean;4;0;0;SKN;62-0727;92
Jean;4;0;0;SKN;62-0727;93
Jean;4;0;0;SKN;62-0728;77
Jean;4;0;0;SKN;63-0119;283
Jean;4;0;0;SKN;63-0119;292
Jean;4;0;0;SKN;63-0627;268
Jean;4;0;0;SKN;63-1110M;39
Jean;4;0;0;SKN;63-1112;157
Jean;4;0;0;SKN;63-1113;247
Jean;4;0;0;SKN;64-0207;131
Jean;4;0;0;SKN;64-0212;149
Jean;4;0;0;SKN;64-0311;161
Jean;4;0;0;SKN;64-0318;208
Jean;4;0;0;SKN;64-0321E;262
Jean;4;0;0;SKN;64-0401;242
Jean;4;0;0;SKN;64-0409;124
Jean;4;0;0;SKN;64-0409;125
Jean;4;0;0;SKN;64-0417;227
Jean;4;0;0;SKN;64-0617;122
Jean;4;0;0;SKN;65-0221E;146
Jean;4;0;0;SKN;65-0427;108
Jean;4;0;0;SKN;65-0911;27
Jean;4;0;0;SKN;65-0919;147
Jean;4;0;0;VGR;57-0421E;103
Jean;4;0;0;VGR;57-0901M;165
Jean;4;0;0;VGR;57-0908E;358
Jean;4;0;0;VGR;58-0225;9
Jean;4;0;0;VGR;58-1005E;229
Jean;4;0;0;VGR;59-0125;90
Jean;4;0;0;VGR;59-0329E;53
Jean;4;0;0;VGR;59-0404;91
Jean;4;0;0;VGR;59-0418;163
Jean;4;0;0;VGR;59-0418;167
Jean;4;0;0;VGR;59-0525;120
Jean;4;0;0;VGR;60-0604;221
Jean;4;0;0;VGR;62-0122;336
Jean;4;0;0;VGR;62-0122;347
Jean;4;0;0;VGR;63-1110M;39
Jean;4;0;0;VGR;64-0207;131
Jean;4;0;0;VGR;64-0311;161
Jean;4;0;0;VGR;64-0318;208
Jean;4;0;0;VGR;64-0321E;262
Jean;4;0;0;VGR;64-0409;216
Jean;4;0;0;VGR;64-0409;219
Jean;4;0;0;VGR;64-0417;227
Jean;4;0;0;VGR;64-0617;122
Jean;4;0;0;VGR;65-0221E;146
Jean;4;0;0;VGR;65-0425;113
Jean;4;0;0;VGR;65-0427;225
Jean;4;0;0;VGR;65-0911;47
Jean;4;0;0;VGR;65-0919;147
Jean;4;1;1;SKN;56-0715;19
Jean;4;3;3;SKN;65-0919;183
Jean;4;3;3;VGR;65-0919;183
Jean;4;4;4;SKN;63-1110E;42
Jean;4;4;4;VGR;63-1110E;49
Jean;4;4;4;VGR;63-1110E;52
Jean;4;5;5;VGR;65-0801M;58
Jean;4;17;17;SKN;63-0126;306
Jean;4;17;17;SKN;63-0127;88
Jean;4;46;46;SKN;51-0722E;15
Jean;4;46;46;SKN;51-0729E;28
Jean;5;0;0;SKN;49-0718;16
Jean;5;0;0;SKN;50-0821;43
Jean;5;0;0;SKN;51-0414;13
Jean;5;0;0;SKN;51-0415E;33
Jean;5;0;0;SKN;51-0717;36
Jean;5;0;0;SKN;51-0727;20
Jean;5;0;0;SKN;51-0929;21
Jean;5;0;0;SKN;52-0713E;37
Jean;5;0;0;SKN;52-0713E;38
Jean;5;0;0;SKN;52-0810E;23
Jean;5;0;0;SKN;52-0817E;7
Jean;5;0;0;SKN;52-0817E;38
Jean;5;0;0;SKN;52-1027;19
Jean;5;0;0;SKN;52-1027;20
Jean;5;0;0;SKN;53-0506;29
Jean;5;0;0;SKN;53-0512;40
Jean;5;0;0;SKN;53-0531;21
Jean;5;0;0;SKN;53-0531;23
Jean;5;0;0;SKN;53-0606;28
Jean;5;0;0;SKN;53-0612;10
Jean;5;0;0;SKN;53-0903;33
Jean;5;0;0;SKN;53-1106;49
Jean;5;0;0;SKN;53-1120;26
Jean;5;0;0;SKN;53-1120;27
Jean;5;0;0;SKN;53-1213E;65
Jean;5;0;0;SKN;54-0305;45
Jean;5;0;0;SKN;54-0307E;18
Jean;5;0;0;SKN;54-0314;45
Jean;5;0;0;SKN;54-0320;74
Jean;5;0;0;SKN;54-0718E;45
Jean;5;0;0;SKN;54-0900;29
Jean;5;0;0;SKN;54-1205;13
Jean;5;0;0;SKN;54-1219E;124
Jean;5;0;0;SKN;55-0220E;43
Jean;5;0;0;SKN;55-0227E;65
Jean;5;0;0;SKN;55-0228;65
Jean;5;0;0;SKN;55-0603;26
Jean;5;0;0;SKN;55-0612;62
Jean;5;0;0;SKN;55-0620;11
Jean;5;0;0;SKN;55-0624;15
Jean;5;0;0;SKN;55-0625;36
Jean;5;0;0;SKN;55-0806;48
Jean;5;0;0;SKN;55-0807E;49
Jean;5;0;0;SKN;55-0815;28
Jean;5;0;0;SKN;55-0819;30
Jean;5;0;0;SKN;55-1001;73
Jean;5;0;0;SKN;55-1113;54
Jean;5;0;0;SKN;55-1113;60
Jean;5;0;0;SKN;56-0225;50
Jean;5;0;0;SKN;56-0225;52
Jean;5;0;0;SKN;56-0405;34
Jean;5;0;0;SKN;56-0415;58
Jean;5;0;0;SKN;56-0419;35
Jean;5;0;0;SKN;56-0419;36
Jean;5;0;0;SKN;56-0419;38
Jean;5;0;0;SKN;56-0612;7
Jean;5;0;0;SKN;56-1001;39
Jean;5;0;0;SKN;56-1209E;80
Jean;5;0;0;SKN;57-0104;55
Jean;5;0;0;SKN;57-0114;76
Jean;5;0;0;SKN;57-0127E;56
Jean;5;0;0;SKN;57-0518;43
Jean;5;0;0;SKN;57-0610;37
Jean;5;0;0;SKN;57-0804E;35
Jean;5;0;0;SKN;57-0804E;36
Jean;5;0;0;SKN;57-0922M;11
Jean;5;0;0;SKN;57-1208;47
Jean;5;0;0;SKN;57-1211;51
Jean;5;0;0;SKN;58-0207;37
Jean;5;0;0;SKN;58-0214;42
Jean;5;0;0;SKN;58-0223;42
Jean;5;0;0;SKN;58-0225;16
Jean;5;0;0;SKN;58-0515;32
Jean;5;0;0;SKN;58-0612;39
Jean;5;0;0;SKN;59-0422;60
Jean;5;0;0;SKN;59-0614;44
Jean;5;0;0;SKN;59-0628E;47
Jean;5;0;0;SKN;61-0118;55
Jean;5;0;0;SKN;61-0129;44
Jean;5;0;0;SKN;61-0219;86
Jean;5;0;0;SKN;61-0224;29
Jean;5;0;0;SKN;62-0122;127
Jean;5;0;0;SKN;62-1230M;237
Jean;5;0;0;SKN;63-0728;125
Jean;5;0;0;SKN;64-0207;138
Jean;5;0;0;SKN;64-0319;48
Jean;5;0;0;VGR;54-1219E;124
Jean;5;0;0;VGR;56-1001;69
Jean;5;0;0;VGR;57-1208;128
Jean;5;0;0;VGR;58-0225;49
Jean;5;0;0;VGR;59-0628E;47
Jean;5;0;0;VGR;59-0628E;188
Jean;5;0;0;VGR;62-0122;339
Jean;5;0;0;VGR;62-1230M;346
Jean;5;0;0;VGR;63-0728;125
Jean;5;0;0;VGR;64-0207;138
Jean;5;1;1;SKN;50-0405;14
Jean;5;7;7;SKN;53-0608A;57
Jean;5;7;7;SKN;53-0729;257
Jean;5;7;7;SKN;56-0225;59
Jean;5;7;7;SKN;56-0612;34
Jean;5;7;7;SKN;57-1002;479
Jean;5;7;7;SKN;59-0708M;23
Jean;5;7;7;SKN;60-1204M;376
Jean;5;7;7;SKN;62-0422;282
Jean;5;7;7;SKN;62-0909M;26
Jean;5;7;7;SKN;62-1007;140
Jean;5;7;7;SKN;65-0124;32
Jean;5;7;7;SKN;65-0218;49
Jean;5;7;7;SKN;65-1204;166
Jean;5;7;7;VGR;53-0608A;57
Jean;5;7;7;VGR;53-0729;257
Jean;5;7;7;VGR;54-0516;36
Jean;5;7;7;VGR;57-0901E;125
Jean;5;7;7;VGR;57-1002;477
Jean;5;7;7;VGR;57-1002;479
Jean;5;7;7;VGR;62-0422;467
Jean;5;7;7;VGR;62-0909M;36
Jean;5;7;7;VGR;62-1007;140
Jean;5;7;7;VGR;63-0116;61
Jean;5;7;7;VGR;63-0320;172
Jean;5;7;7;VGR;65-0124;46
Jean;5;7;7;VGR;65-0218;49
Jean;5;7;7;VGR;65-1204;166
Jean;5;7;8;VGR;60-1204M;362
Jean;5;14;14;SKN;59-0417;9
Jean;5;14;14;SKN;62-1014M;151
Jean;5;14;14;VGR;62-1014M;194
Jean;5;16;16;VGR;59-0628E;188
Jean;5;18;18;SKN;62-0218;201
Jean;5;18;18;VGR;59-0628E;182
Jean;5;19;19;SKN;48-0304;31
Jean;5;19;19;SKN;50-0405;13
Jean;5;19;19;SKN;50-0815;28
Jean;5;19;19;SKN;51-0505;21
Jean;5;19;19;SKN;51-0509;35
Jean;5;19;19;SKN;51-0509;36
Jean;5;19;19;SKN;51-0717;36
Jean;5;19;19;SKN;51-0929;21
Jean;5;19;19;SKN;52-0713E;38
Jean;5;19;19;SKN;52-0716;26
Jean;5;19;19;SKN;52-0720E;22
Jean;5;19;19;SKN;52-0726;39
Jean;5;19;19;SKN;52-0727;31
Jean;5;19;19;SKN;52-0817E;9
Jean;5;19;19;SKN;52-1027;22
Jean;5;19;19;SKN;52-1027;23
Jean;5;19;19;SKN;53-0215;9
Jean;5;19;19;SKN;53-0506;31
Jean;5;19;19;SKN;53-0506;32
Jean;5;19;19;SKN;53-0507;2
Jean;5;19;19;SKN;53-0508;61
Jean;5;19;19;SKN;53-0511;16
Jean;5;19;19;SKN;53-0531;23
Jean;5;19;19;SKN;53-0603;33
Jean;5;19;19;SKN;53-0605;26
Jean;5;19;19;SKN;53-0606;28
Jean;5;19;19;SKN;53-0903;33
Jean;5;19;19;SKN;53-0905;40
Jean;5;19;19;SKN;53-1106;50
Jean;5;19;19;SKN;53-1115E;24
Jean;5;19;19;SKN;53-1120;26
Jean;5;19;19;SKN;53-1121;27
Jean;5;19;19;SKN;53-1121;28
Jean;5;19;19;SKN;53-1204;62
Jean;5;19;19;SKN;53-1206E;69
Jean;5;19;19;SKN;54-0220;60
Jean;5;19;19;SKN;54-0228E;37
Jean;5;19;19;SKN;54-0228E;44
Jean;5;19;19;SKN;54-0301;49
Jean;5;19;19;SKN;54-0302;37
Jean;5;19;19;SKN;54-0306;90
Jean;5;19;19;SKN;54-0307E;25
Jean;5;19;19;SKN;54-0314;50
Jean;5;19;19;SKN;54-0320;74
Jean;5;19;19;SKN;54-0331;12
Jean;5;19;19;SKN;54-0401;29
Jean;5;19;19;SKN;54-0403;55
Jean;5;19;19;SKN;54-0404E;36
Jean;5;19;19;SKN;54-0411;5
Jean;5;19;19;SKN;54-0411;30
Jean;5;19;19;SKN;54-0620E;48
Jean;5;19;19;SKN;54-0719E;40
Jean;5;19;19;SKN;54-0720E;34
Jean;5;19;19;SKN;54-0723;46
Jean;5;19;19;SKN;54-0809E;14
Jean;5;19;19;SKN;54-0809E;33
Jean;5;19;19;SKN;54-0824;25
Jean;5;19;19;SKN;54-0825;20
Jean;5;19;19;SKN;54-0829E;1
Jean;5;19;19;SKN;54-0900;29
Jean;5;19;19;SKN;54-1207;31
Jean;5;19;19;SKN;55-0113;36
Jean;5;19;19;SKN;55-0116E;22
Jean;5;19;19;SKN;55-0116E;31
Jean;5;19;19;SKN;55-0120;68
Jean;5;19;19;SKN;55-0220A;51
Jean;5;19;19;SKN;55-0220E;49
Jean;5;19;19;SKN;55-0222;20
Jean;5;19;19;SKN;55-0603;28
Jean;5;19;19;SKN;55-0604;33
Jean;5;19;19;SKN;55-0607;73
Jean;5;19;19;SKN;55-0611;81
Jean;5;19;19;SKN;55-0612;63
Jean;5;19;19;SKN;55-0620;12
Jean;5;19;19;SKN;55-0625;36
Jean;5;19;19;SKN;55-0806;72
Jean;5;19;19;SKN;55-0807E;15
Jean;5;19;19;SKN;55-0815;28
Jean;5;19;19;SKN;55-0815;29
Jean;5;19;19;SKN;55-0818;21
Jean;5;19;19;SKN;55-1001;77
Jean;5;19;19;SKN;55-1001;78
Jean;5;19;19;SKN;55-1008;81
Jean;5;19;19;SKN;55-1113;62
Jean;5;19;19;SKN;55-1114;9
Jean;5;19;19;SKN;55-1115;57
Jean;5;19;19;SKN;55-1117;61
Jean;5;19;19;SKN;55-1119;66
Jean;5;19;19;SKN;55-1119;67
Jean;5;19;19;SKN;56-0225;57
Jean;5;19;19;SKN;56-0401M;64
Jean;5;19;19;SKN;56-0405;34
Jean;5;19;19;SKN;56-0406;60
Jean;5;19;19;SKN;56-0407;55
Jean;5;19;19;SKN;56-0408E;50
Jean;5;19;19;SKN;56-0414;12
Jean;5;19;19;SKN;56-0415;58
Jean;5;19;19;SKN;56-0420;15
Jean;5;19;19;SKN;56-0421;44
Jean;5;19;19;SKN;56-0422;44
Jean;5;19;19;SKN;56-0426;45
Jean;5;19;19;SKN;56-0428;70
Jean;5;19;19;SKN;56-0429;70
Jean;5;19;19;SKN;56-0613;51
Jean;5;19;19;SKN;56-0615;50
Jean;5;19;19;SKN;56-0615;52
Jean;5;19;19;SKN;56-0722;27
Jean;5;19;19;SKN;56-0731;40
Jean;5;19;19;SKN;56-0731;74
Jean;5;19;19;SKN;56-0814;70
Jean;5;19;19;SKN;56-0815;77
Jean;5;19;19;SKN;56-0930E;49
Jean;5;19;19;SKN;56-1001;43
Jean;5;19;19;SKN;56-1206;84
Jean;5;19;19;SKN;56-1206;85
Jean;5;19;19;SKN;56-1207;30
Jean;5;19;19;SKN;56-1209E;66
Jean;5;19;19;SKN;56-1209E;80
Jean;5;19;19;SKN;56-1215;30
Jean;5;19;19;SKN;56-1215;75
Jean;5;19;19;SKN;57-0104;56
Jean;5;19;19;SKN;57-0105;88
Jean;5;19;19;SKN;57-0106;55
Jean;5;19;19;SKN;57-0114;45
Jean;5;19;19;SKN;57-0115;68
Jean;5;19;19;SKN;57-0125;64
Jean;5;19;19;SKN;57-0126B;59
Jean;5;19;19;SKN;57-0127E;51
Jean;5;19;19;SKN;57-0226;31
Jean;5;19;19;SKN;57-0228;49
Jean;5;19;19;SKN;57-0302;8
Jean;5;19;19;SKN;57-0305;54
Jean;5;19;19;SKN;57-0310E;59
Jean;5;19;19;SKN;57-0322;64
Jean;5;19;19;SKN;57-0323;63
Jean;5;19;19;SKN;57-0325;86
Jean;5;19;19;SKN;57-0407E;9
Jean;5;19;19;SKN;57-0421E;30
Jean;5;19;19;SKN;57-0518;44
Jean;5;19;19;SKN;57-0610;59
Jean;5;19;19;SKN;57-0613E;47
Jean;5;19;19;SKN;57-0614;44
Jean;5;19;19;SKN;57-0725;11
Jean;5;19;19;SKN;57-0728;60
Jean;5;19;19;SKN;57-0804E;37
Jean;5;19;19;SKN;57-0805;56
Jean;5;19;19;SKN;57-0811E;14
Jean;5;19;19;SKN;57-0825M;58
Jean;5;19;19;SKN;57-1212;43
Jean;5;19;19;SKN;57-1212;44
Jean;5;19;19;SKN;57-1213;13
Jean;5;19;19;SKN;57-1213;72
Jean;5;19;19;SKN;57-1215;8
Jean;5;19;19;SKN;57-1229;29
Jean;5;19;19;SKN;58-0105;37
Jean;5;19;19;SKN;58-0107;53
Jean;5;19;19;SKN;58-0110;42
Jean;5;19;19;SKN;58-0207;23
Jean;5;19;19;SKN;58-0208;57
Jean;5;19;19;SKN;58-0209E;72
Jean;5;19;19;SKN;58-0223;43
Jean;5;19;19;SKN;58-0225;1
Jean;5;19;19;SKN;58-0301E;45
Jean;5;19;19;SKN;58-0309E;68
Jean;5;19;19;SKN;58-0312;50
Jean;5;19;19;SKN;58-0312;51
Jean;5;19;19;SKN;58-0313;52
Jean;5;19;19;SKN;58-0315;94
Jean;5;19;19;SKN;58-0316E;78
Jean;5;19;19;SKN;58-0503;59
Jean;5;19;19;SKN;58-0503;63
Jean;5;19;19;SKN;58-0510;40
Jean;5;19;19;SKN;58-0515;32
Jean;5;19;19;SKN;58-0515;33
Jean;5;19;19;SKN;58-0515;40
Jean;5;19;19;SKN;58-0517E;39
Jean;5;19;19;SKN;58-0519;20
Jean;5;19;19;SKN;58-0521;58
Jean;5;19;19;SKN;58-0523;21
Jean;5;19;19;SKN;58-0524;59
Jean;5;19;19;SKN;58-0530;57
Jean;5;19;19;SKN;58-0612;23
Jean;5;19;19;SKN;58-0612;24
Jean;5;19;19;SKN;58-0613;60
Jean;5;19;19;SKN;58-0619E;39
Jean;5;19;19;SKN;58-0619E;40
Jean;5;19;19;SKN;58-0620;60
Jean;5;19;19;SKN;58-1005M;99
Jean;5;19;19;SKN;59-0404;16
Jean;5;19;19;SKN;59-0407;37
Jean;5;19;19;SKN;59-0422;22
Jean;5;19;19;SKN;59-0422;56
Jean;5;19;19;SKN;59-0613;13
Jean;5;19;19;SKN;59-0614;45
Jean;5;19;19;SKN;59-0707;37
Jean;5;19;19;SKN;59-0708E;47
Jean;5;19;19;SKN;59-0815;63
Jean;5;19;19;SKN;59-1108;78
Jean;5;19;19;SKN;59-1126;55
Jean;5;19;19;SKN;59-1127;49
Jean;5;19;19;SKN;60-0109;36
Jean;5;19;19;SKN;60-0110;89
Jean;5;19;19;SKN;60-0210E;66
Jean;5;19;19;SKN;60-0302;61
Jean;5;19;19;SKN;60-0305;30
Jean;5;19;19;SKN;60-0305;37
Jean;5;19;19;SKN;60-0313;62
Jean;5;19;19;SKN;60-0326;48
Jean;5;19;19;SKN;60-0401E;61
Jean;5;19;19;SKN;60-0402;25
Jean;5;19;19;SKN;60-0604;49
Jean;5;19;19;SKN;60-0607;52
Jean;5;19;19;SKN;60-0708;86
Jean;5;19;19;SKN;60-0713;43
Jean;5;19;19;SKN;60-0716;125
Jean;5;19;19;SKN;60-0720;56
