ref;traduction;code;paragraphe;nb_mots;mots
Luc 2:26;SKN;50-0405;10;2;averti divinement
Luc 2:28;SKN;50-0405;10;2;benit bras
Luc 2:34;SKN;50-0405;10;2;benit simeon
Luc 2:34;SKN;50-0405;17;2;israel simeon
Luc 2:22;SKN;50-0405;21;2;loi purification
Luc 2:34;SKN;50-0405;21;2;marie simeon
Luc 2:34;SKN;50-0405;23;2;israel simeon
Luc 2:25;SKN;50-0405;28;2;attendait simeon
Luc 16:24;SKN;50-0405;30;2;aie pitie
Luc 17:20;SKN;50-0405;30;2;attirer lattention
Luc 7:38;SKN;50-0405;34;2;couvrait tenant
Luc 17:14;SKN;50-0405;35;2;allant sen
Luc 7:44;SKN;50-0405;51;2;mas pieds
Luc 7:45;SKN;50-0405;51;2;mas pieds
Luc 2:34;SKN;50-0405;52;2;benit simeon
Luc 7:48;SKN;50-0405;65;2;pardonnes peches
Luc 2:10;SKN;50-0405;85;2;nayez peur
Luc 24:10;SKN;50-0409;4;2;apotres dirent
Luc 16:24;SKN;50-0409;5;2;aie pitie
Luc 1:52;SKN;50-0409;8;2;descendre eleve
Luc 17:15;SKN;50-0711;4;2;haute voix
Luc 24:44;SKN;50-0711;12;2;accomplies disais
Luc 10:9;SKN;50-0711;20;2;guerissez seront
Luc 7:38;SKN;50-0711;36;2;pieds tenant
Luc 17:27;SKN;50-0711;41;2;larche noe
Luc 18:8;SKN;50-0711;42;2;bientot viendra
Luc 10:11;SKN;50-0713;4;2;approche pieds
Luc 16:24;SKN;50-0713;4;2;aie doigt
Luc 24:21;SKN;50-0713;9;2;delivrer israel
Luc 7:43;SKN;50-0713;10;2;davantage quitte
Luc 22:17;SKN;50-0713;10;2;prenez rendit
Luc 24:6;SKN;50-0713;10;2;parla souvenez
Luc 24:10;SKN;50-0713;10;2;apotres marie
Luc 24:13;SKN;50-0713;10;2;chemin eloigne
Luc 24:29;SKN;50-0713;10;2;demeure entra
Luc 10:4;SKN;50-0714;3;2;chemin portez
Luc 17:20;SKN;50-0714;8;2;attirer lattention
Luc 18:5;SKN;50-0714;13;2;neanmoins peur
Luc 17:15;SKN;50-0714;18;2;voix voyant
Luc 7:38;SKN;50-0714;19;2;pieds pleurant
Luc 16:24;SKN;50-0714;19;2;aie pitie
Luc 18:8;SKN;50-0714;22;2;bientot justice
Luc 2:10;SKN;50-0714;25;2;nayez peur
Luc 7:40;SKN;50-0714;27;2;maitre simon
Luc 7:40;SKN;50-0714;29;2;maitre simon
Luc 2:10;SKN;50-0714;31;2;nayez peur
Luc 11:24;SKN;50-0714;41;2;cherchant dou
Luc 2:22;SKN;50-0715;3;2;furent selon
Luc 16:24;SKN;50-0715;3;2;aie pitie
Luc 24:10;SKN;50-0715;3;2;dirent furent
Luc 16:24;SKN;50-0715;20;2;aie pitie
Luc 24:15;SKN;50-0715;25;2;approche ensemble
Luc 24:29;SKN;50-0715;25;2;approche baisse
Luc 2:39;SKN;50-0715;31;2;nazareth selon
Luc 24:44;SKN;50-0715;33;2;accomplies soient
Luc 5:8;SKN;50-0716;18;2;ayant genoux
Luc 7:7;SKN;50-0716;20;2;digne serviteur
Luc 2:4;SKN;50-0716;26;2;appelee joseph
Luc 16:22;SKN;50-0716;27;2;mourut sein
Luc 18:8;SKN;50-0716;30;2;justice trouvera
Luc 17:29;SKN;50-0716;33;2;fit sortit
Luc 10:11;SKN;50-0716;34;2;pieds poussiere
Luc 16:22;SKN;50-0716;34;2;pauvre riche
Luc 2:34;SKN;50-0716;36;2;lon marie
Luc 1:80;SKN;50-0716;50;2;fut lenfant
