ref;traduction;code;paragraphe;statut;note;cadre
Jean 5:7;SKN;57-1002;479;PARTIEL;commencé, pas achevé — lui;CONCEPT
Jean 5:24;SKN;57-1002;377;EXACT;parole croit vie eternelle vient mort [couverture 5/14];CONCEPT
Marc 14:62;SKN;57-1002;440;EXACT;jesus suis verrez fils assis droite puissance venant [couverture 10/11];CONCEPT
Matthieu 24:0;SKN;57-1002;516;VALIDE;chap->v.2: voyez dis sera soit;CONCEPT
Matthieu 24:0;SKN;57-1002;517;VALIDE;chap->v.2: voyez dis sera soit;CONCEPT
Matthieu 27:0;SKN;57-1002;418;VALIDE;chap->v.58: celui alle corps jesus alors corps;CONCEPT
Psaumes 16:0;SKN;57-1002;376;VALIDE;chap->v.7: donne meme mes;CONCEPT
Psaumes 16:10;SKN;57-1002;408;VALIDE;ame permettras saint voie corruption;CONCEPT
Romains 8:1;SKN;57-1002;400;EXACT;maintenant aucune condamnation ceux christ jesus [couverture 6/6];CONCEPT
1 Corinthiens 12:0;SKN;58-0207;18;VALIDE;chap->v.13: avons baptises seul esprit seul corps soit soit;CONCEPT
1 Corinthiens 12:0;SKN;58-0207;49;VALIDE;chap->v.3: cest pourquoi fais savoir homme lesprit dieu jesus;CONCEPT
Hebreux 13:8;SKN;58-0207;14;VALIDE;jesus meme hier aujourdhui eternellement;CONCEPT
Hebreux 13:8;SKN;58-0207;16;EXACT;jesus christ meme hier aujourdhui eternellement [couverture 5/6];CONCEPT
Jean 1:0;SKN;58-0207;25;VALIDE;chap->v.30: cest celui moi apres moi homme prend place;CONCEPT
Jean 4:0;SKN;58-0207;68;VALIDE;chap->v.25: femme lui sais christ vient sera fera choses;CONCEPT
Jean 5:0;SKN;58-0207;37;VALIDE;chap->v.4: ange descendait agitait leau premier apres leau avait;CONCEPT
Jean 5:19;SKN;58-0207;23;EXACT;jesus verite dis fils rien lui meme quil [couverture 6/14];CONCEPT
Jean 15:0;SKN;58-0207;19;VALIDE;chap->v.2: sarment porte fruit sarment porte fruit afin quil;CONCEPT
Psaumes 103:3;SKN;58-0207;5;VALIDE;cest lui tes guerit;CONCEPT
1 Corinthiens 12:0;SKN;58-0214;8;VALIDE;chap->v.3: cest pourquoi nul homme lesprit dieu jesus nul;CONCEPT
Hebreux 13:8;SKN;58-0214;19;VALIDE;jesus meme hier aujourdhui eternellement;CONCEPT
Jean 5:0;SKN;58-0214;42;VALIDE;chap->v.19: jesus verite verite dis fils rien lui meme;CONCEPT
Jean 12:20;SKN;58-0214;19;VALIDE;avait quelques grecs ceux etaient montes adorer pendant;CONCEPT
Jean 14:7;SKN;58-0214;26;PARTIEL;commencé, pas achevé — pere maintenant;CONCEPT
Jean 15:0;SKN;58-0214;26;VALIDE;chap->v.5: moi suis cep sarments celui moi moi lui;CONCEPT
1 Corinthiens 12:0;SKN;58-0223;11;VALIDE;chap->v.12: meme corps quil corps seul corps ainsi christ;CONCEPT
Hebreux 13:8;SKN;58-0223;16;VALIDE;jesus christ meme hier aujourdhui eternellement;CONCEPT
Jean 1:0;SKN;58-0223;45;VALIDE;chap->v.30: cest moi apres moi homme avant moi etait;CONCEPT
Jean 4:0;SKN;58-0223;65;VALIDE;chap->v.50: jesus lui fils parole jesus lui avait sen;CONCEPT
Jean 5:0;SKN;58-0223;42;VALIDE;chap->v.19: jesus verite verite dis fils rien lui meme;CONCEPT
Jean 5:19;SKN;58-0223;43;EXACT;jesus verite dis fils rien lui meme quil [couverture 12/14];CONCEPT
Matthieu 10:0;SKN;58-0223;37;VALIDE;chap->v.37: celui pere moi nest moi celui fils moi;CONCEPT
Psaumes 103:3;SKN;58-0223;12;VALIDE;cest lui tes guerit;CONCEPT
1 Corinthiens 12:0;SKN;58-0312;53;VALIDE;chap->v.3: cest pourquoi fais nul homme lesprit dieu jesus;CONCEPT
Jean 1:0;SKN;58-0312;33;VALIDE;chap->v.41: andre frere simon pierre etait deux avaient lui;CONCEPT
Jean 1:0;SKN;58-0312;35;VALIDE;chap->v.47: nathanael lui venir quelque chose bon nazareth philippe;CONCEPT
Jean 5:19;SKN;58-0312;50;EXACT;jesus verite dis fils rien lui meme quil [couverture 5/14];CONCEPT
Jean 5:19;SKN;58-0312;51;EXACT;jesus verite dis fils rien lui meme quil [couverture 5/14];CONCEPT
Jean 11:0;SKN;58-0312;47;VALIDE;chap->v.51: cela lui meme souverain sacrificateur annee jesus nation;CONCEPT
Jean 15:0;SKN;58-0312;30;VALIDE;chap->v.2: sarment porte fruit sarment porte fruit quil porte;CONCEPT
Psaumes 103:3;SKN;58-0312;20;VALIDE;cest lui tes guerit;CONCEPT
1 Corinthiens 12:0;SKN;59-0422;53;VALIDE;chap->v.15: parce suis main suis corps qua cela nest;CONCEPT
Hebreux 13:8;SKN;59-0422;12;VALIDE;jesus christ meme hier aujourdhui eternellement;CONCEPT
Jean 4:0;SKN;59-0422;32;VALIDE;chap->v.50: jesus lui fils vit lhomme parole jesus lui;CONCEPT
Jean 4:0;SKN;59-0422;60;VALIDE;chap->v.50: jesus lui fils parole jesus lui avait dite;CONCEPT
Jean 5:0;SKN;59-0422;60;VALIDE;chap->v.19: jesus dis fils rien lui meme quil voie;CONCEPT
