ref;traduction;code;paragraphe;statut;note;cadre
Jean 12:0;VGR;64-0705;114;VALIDE;chap->v.1: jesus jours etait mort jesus avait;CONCEPT
Jean 12:0;VGR;64-0705;128;VALIDE;chap->v.19: eux voyez rien alle apres;CONCEPT
Jean 12:24;VGR;64-0705;116;EXACT;dis grain ble terre seul sil [couverture 6/14];CONCEPT
Jean 14:0;VGR;64-0705;68;VALIDE;chap->v.10: moi pere pere moi moi moi meme pere;CONCEPT
Luc 17:0;VGR;64-0705;170;VALIDE;chap->v.34: deux seront meme;CONCEPT
Malachie 3:0;VGR;64-0705;110;VALIDE;chap->v.14: cest dieu quel quil;CONCEPT
Malachie 4:0;VGR;64-0705;158;VALIDE;chap->v.6: cur peres cur peres frappe;CONCEPT
Malachie 4:0;VGR;64-0705;159;VALIDE;chap->v.6: cur peres cur peres frappe;CONCEPT
Malachie 4:0;VGR;64-0705;166;VALIDE;chap->v.1: jour seront jour;CONCEPT
Marc 9:7;VGR;64-0705;72;EXACT;nuee voix celui fils ecoutez [couverture 6/10];CONCEPT
Matthieu 24:24;VGR;64-0705;126;VALIDE;seduire possible elus;CONCEPT
Apocalypse 3:0;VGR;64-0726M;57;VALIDE;chap->v.5: celui celui sera nom vie nom;CONCEPT
Apocalypse 11:0;VGR;64-0726M;67;VALIDE;chap->v.10: font parce deux prophetes;CONCEPT
Ezechiel 37:0;VGR;64-0726M;54;VALIDE;chap->v.1: main leternel leternel sortir etait remplie dossements;CONCEPT
Malachie 3:0;VGR;64-0726M;110;VALIDE;chap->v.1: voici jenvoie messager preparera chemin devant moi seigneur;CONCEPT
Malachie 4:0;VGR;64-0726M;119;VALIDE;chap->v.1: voici jour vient jour vient;CONCEPT
Malachie 4:0;VGR;64-0726M;120;VALIDE;chap->v.1: voici jour vient jour vient;CONCEPT
Malachie 4:0;VGR;64-0726M;121;VALIDE;chap->v.1: voici jour vient jour vient;CONCEPT
Apocalypse 3:0;VGR;65-0815;33;VALIDE;chap->v.18: conseille dacheter moi lor passe feu afin deviennes;CONCEPT
Colossiens 1:15;VGR;65-0815;112;VALIDE;dieu invisible premier creation;CONCEPT
Apocalypse 3:0;VGR;65-0829;132;VALIDE;chap->v.12: dieu jamais dieu;CONCEPT
Apocalypse 3:14;VGR;65-0829;19;PARTIEL;commencé, pas achevé — laodicee dieu;CONCEPT
Apocalypse 21:0;VGR;65-0829;167;VALIDE;chap->v.1: vis nouveau ciel nouvelle terre premier ciel premiere;CONCEPT
Esaie 14:0;VGR;65-0829;62;VALIDE;chap->v.12: tombe astre brillant fils laurore abattu jusqua terre;CONCEPT
Malachie 4:0;VGR;65-0829;83;VALIDE;chap->v.1: voici jour jour;CONCEPT
Marc 16:0;VGR;65-0829;83;VALIDE;chap->v.6: lui jesus nest ici voici;CONCEPT
Matthieu 24:0;VGR;65-0829;16;VALIDE;chap->v.21: alors grande telle quil maintenant quil jamais;CONCEPT
Matthieu 24:24;VGR;65-0829;76;PARTIEL;commencé, pas achevé — signes;CONCEPT
Apocalypse 3:0;VGR;65-0911;204;VALIDE;chap->v.10: parce parole moi lheure terre;CONCEPT
Apocalypse 10:0;VGR;65-0911;77;VALIDE;chap->v.6: celui choses terre choses choses quil;CONCEPT
Apocalypse 10:0;VGR;65-0911;91;VALIDE;chap->v.10: pris petit main fut fut;CONCEPT
Apocalypse 10:0;VGR;65-0911;185;VALIDE;chap->v.1: vis dune tete visage;CONCEPT
Ephesiens 1:5;VGR;65-0911;225;VALIDE;predestines lui jesus;CONCEPT
Ephesiens 5:26;VGR;65-0911;164;PARTIEL;commencé, pas achevé — quil parole;CONCEPT
Esaie 9:6;VGR;65-0911;215;VALIDE;enfant fils donne sera conseiller dieu pere;CONCEPT
Esaie 9:6;VGR;65-0911;219;VALIDE;fils sera dieu;CONCEPT
Esaie 14:0;VGR;65-0911;105;VALIDE;chap->v.24: pense ainsi arrivera;CONCEPT
Esaie 14:12;VGR;65-0911;100;EXACT;tombe astre brillant fils laurore terre toi nations [couverture 8/13];CONCEPT
Genese 1:0;VGR;65-0911;38;VALIDE;chap->v.2: terre etait vide tenebres lesprit dieu eaux;CONCEPT
Genese 1:0;VGR;65-0911;45;VALIDE;chap->v.27: dieu crea lhomme image crea limage dieu crea;CONCEPT
Genese 4:0;VGR;65-0911;81;VALIDE;chap->v.1: lhomme connut femme concut enfanta cain jai leternel;CONCEPT
Genese 4:6;VGR;65-0911;183;EXACT;cain pourquoi visage abattu [couverture 5/7];CONCEPT
Hebreux 10:26;VGR;65-0911;189;EXACT;pechons volontairement apres connaissance verite reste sacrifice [couverture 7/9];CONCEPT
Jean 1:0;VGR;65-0911;234;VALIDE;chap->v.1: commencement etait parole parole etait dieu parole etait;CONCEPT
Jean 4:0;VGR;65-0911;47;VALIDE;chap->v.24: dieu esprit faut ceux ladorent ladorent esprit verite;CONCEPT
Matthieu 24:24;VGR;65-0911;103;PARTIEL;commencé, pas achevé — seduire elus;CONCEPT
Psaumes 14:1;VGR;65-0911;175;VALIDE;linsense cur dieu personne;CONCEPT
Psaumes 16:10;VGR;65-0911;253;VALIDE;ame voie corruption;CONCEPT
Apocalypse 3:0;VGR;65-1031M;218;VALIDE;chap->v.17: parce malheureux miserable pauvre;CONCEPT
Apocalypse 3:0;VGR;65-1031M;273;VALIDE;chap->v.18: conseille dacheter moi afin afin sois;CONCEPT
Ephesiens 1:5;VGR;65-1031M;291;PARTIEL;commencé, pas achevé — lui;CONCEPT
Ephesiens 5:26;VGR;65-1031M;236;PARTIEL;commencé, pas achevé — quil parole;CONCEPT
Esaie 9:6;VGR;65-1031M;284;EXACT;enfant fils donne conseiller dieu pere [couverture 6/14];CONCEPT
Esaie 9:6;VGR;65-1031M;285;EXACT;enfant fils donne conseiller dieu pere [couverture 6/14];CONCEPT
Esaie 14:12;VGR;65-1031M;205;PARTIEL;commencé, pas achevé — fils;CONCEPT
Genese 1:0;VGR;65-1031M;60;VALIDE;chap->v.27: dieu lhomme image limage dieu male femelle;CONCEPT
Genese 1:0;VGR;65-1031M;62;VALIDE;chap->v.27: dieu lhomme image limage dieu male femelle;CONCEPT
Genese 1:0;VGR;65-1031M;90;VALIDE;chap->v.25: dieu selon espece selon espece selon espece dieu;CONCEPT
Genese 4:0;VGR;65-1031M;122;VALIDE;chap->v.11: maintenant terre main frere;CONCEPT
Genese 4:0;VGR;65-1031M;144;VALIDE;chap->v.17: cain connut femme concut enfanta henoc batit ville;CONCEPT
Genese 4:6;VGR;65-1031M;252;LAPSUS;annoncé — dit en réalité Hebreux 10:26;CONCEPT
Hebreux 10:26;VGR;65-1031M;252;LAPSUS-LU;lu — annoncé sous Genese 4:6;CONCEPT
Hebreux 10:26;VGR;65-1031M;254;VALIDE;pechons volontairement apres recu connaissance verite reste sacrifice;CONCEPT
Matthieu 24:24;VGR;65-1031M;135;VALIDE;possible meme elus;CONCEPT
Psaumes 14:1;VGR;65-1031M;240;VALIDE;linsense cur dieu personne;CONCEPT
Apocalypse 3:14;SKN;57-1208;6;VALIDE;lange laodicee ecris voici lamen temoin fidele veritable;LECTURE
Jean 5:0;SKN;57-1208;47;VALIDE;chap->v.19: jesus verite verite dis fils rien lui meme;CONCEPT
Apocalypse 3:14;SKN;62-1230E;111;VALIDE;lange lassemblee laodicee dieu;CONCEPT
Apocalypse 5:1;SKN;62-1230E;154;EXACT;vis droite celui etait assis trone livre ecrit [couverture 12/13];CONCEPT
Apocalypse 6:0;SKN;62-1230E;185;VALIDE;chap->v.1: lorsque lagneau ouvrit lun sept sceaux jentendis lun;CONCEPT
Apocalypse 17:0;SKN;62-1230E;164;VALIDE;chap->v.2: ont fornication ont fornication;CONCEPT
Colossiens 4:3;SKN;62-1230E;117;EXACT;meme temps dieu mystere christ [couverture 5/14];CONCEPT
Ephesiens 3:1-11;SKN;62-1230E;117;VALIDE;cest cela moi christ jesus parler grace dieu;CONCEPT
Ephesiens 5:28-32;SKN;62-1230E;117;VALIDE;meme corps celui lui personne;CONCEPT
Ephesiens 6:19;SKN;62-1230E;117;EXACT;moi quil soit donne parler connaitre mystere [couverture 6/13];CONCEPT
Galates 2:20;SKN;62-1230E;117;EXACT;christ moi maintenant foi fils dieu livre [couverture 5/14];CONCEPT
Hebreux 13:8;SKN;62-1230E;117;EXACT;jesus christ meme hier aujourdhui eternellement [couverture 6/6];CONCEPT
Malachie 4:0;SKN;62-1230E;142;VALIDE;chap->v.1: jour vient jour vient;CONCEPT
Malachie 4:0;SKN;62-1230E;221;VALIDE;chap->v.6: peres peres peur;CONCEPT
Matthieu 13:0;SKN;62-1230E;115;VALIDE;chap->v.11: lui cest parce qua donne connaitre mysteres royaume;CONCEPT
Matthieu 13:3-15;SKN;62-1230E;117;PARTIEL;commencé, pas achevé — voici quelques;CONCEPT
Romains 11:25;SKN;62-1230E;117;VALIDE;mystere sages cest;CONCEPT
Romains 16:25;SKN;62-1230E;117;EXACT;celui selon jesus christ revelation mystere [couverture 5/14];CONCEPT
Apocalypse 3:14;VGR;57-1208;12;EXACT;lange laodicee ecris voici lamen temoin fidele veritable [couverture 11/12];CONCEPT
Jean 5:0;VGR;57-1208;128;VALIDE;chap->v.19: jesus verite verite dis fils rien lui meme;CONCEPT
Apocalypse 3:14;VGR;62-1230E;238;VALIDE;lange lassemblee laodicee dieu;CONCEPT
Apocalypse 5:1;VGR;62-1230E;302;EXACT;vis droite celui etait assis trone livre ecrit [couverture 12/13];CONCEPT
Apocalypse 6:0;VGR;62-1230E;345;VALIDE;chap->v.1: lorsque lagneau lun sept sceaux jentendis lun quatre;CONCEPT
Apocalypse 17:0;VGR;62-1230E;316;VALIDE;chap->v.2: ont fornication ont fornication;CONCEPT
Colossiens 4:3;VGR;62-1230E;248;VALIDE;meme mystere christ;CONCEPT
Ephesiens 3:1-11;VGR;62-1230E;248;PARTIEL;commencé, pas achevé — cest christ;CONCEPT
Ephesiens 5:28-32;VGR;62-1230E;249;VALIDE;meme corps celui;CONCEPT
Ephesiens 6:19;VGR;62-1230E;248;PARTIEL;commencé, pas achevé — mystere;CONCEPT
Galates 2:20;VGR;62-1230E;250;VALIDE;christ foi dieu;CONCEPT
Hebreux 13:8;VGR;62-1230E;250;EXACT;christ meme hier aujourdhui eternellement [couverture 5/6];CONCEPT
Malachie 4:0;VGR;62-1230E;292;VALIDE;chap->v.1: jour vient seront jour vient;CONCEPT
Malachie 4:0;VGR;62-1230E;410;VALIDE;chap->v.6: cur peres cur peres;CONCEPT
Matthieu 13:0;VGR;62-1230E;243;VALIDE;chap->v.11: lui cest parce qua donne connaitre mysteres royaume;CONCEPT
Matthieu 13:3-50;VGR;62-1230E;245;PARTIEL;commencé, pas achevé — voici quelques;CONCEPT
Romains 11:25;VGR;62-1230E;246;PARTIEL;commencé, pas achevé — mystere cest;CONCEPT
Romains 16:25;VGR;62-1230E;248;VALIDE;celui christ mystere;CONCEPT
Esaie 53:0;SKN;65-1128E;133;VALIDE;chap->v.5: blesse nos meurtri nos iniquites chatiment paix lui;CONCEPT
Genese 8:8;SKN;65-1128E;97;EXACT;lacha lui colombe eaux avaient [couverture 5/10];CONCEPT
Genese 15:9;SKN;65-1128E;67;VALIDE;lui prends genisse trois ans chevre belier tourterelle;CONCEPT
Levitique 12:0;SKN;65-1128E;76;VALIDE;chap->v.6: jours purification seront accomplis fils fille sacrificateur tente;CONCEPT
Matthieu 3:0;SKN;65-1128E;30;VALIDE;chap->v.3: ici voix desert seigneur;CONCEPT
Matthieu 3:16;SKN;65-1128E;37;EXACT;jesus ayant baptise remonta aussitot voici cieux lui [couverture 12/14];CONCEPT
Matthieu 3:16;SKN;65-1128E;98;VALIDE;jesus lui dieu;CONCEPT
Psaumes 53:0;SKN;65-1128E;32;VALIDE;chap->v.5: sujet frayeur frayeur dieu contre;CONCEPT
Psaumes 55:0;SKN;65-1128E;30;VALIDE;chap->v.3: cause voix devant mechant font tomber moi poursuivent;CONCEPT
Psaumes 55:0;SKN;65-1128E;32;VALIDE;chap->v.3: cause voix devant mechant font tomber moi poursuivent;CONCEPT
Esaie 53:0;VGR;65-1128E;133;VALIDE;chap->v.5: blesse nos meurtri nos chatiment paix lui meurtrissures;CONCEPT
Genese 8:8;VGR;65-1128E;97;VALIDE;lui colombe eaux avaient;CONCEPT
Genese 15:9;VGR;65-1128E;67;VALIDE;lui prends genisse trois ans chevre belier tourterelle;CONCEPT
Levitique 12:0;VGR;65-1128E;76;VALIDE;chap->v.6: jours purification seront accomplis fils fille sacrificateur lentree;CONCEPT
Matthieu 3:0;VGR;65-1128E;30;VALIDE;chap->v.3: cest ici voix desert seigneur;CONCEPT
Matthieu 3:16;VGR;65-1128E;37;EXACT;jesus ayant baptise aussitot leau voici cieux lui [couverture 13/14];CONCEPT
Matthieu 3:16;VGR;65-1128E;98;VALIDE;jesus leau lui dieu;CONCEPT
Psaumes 53:0;VGR;65-1128E;32;VALIDE;chap->v.5: sujet frayeur frayeur dieu contre;CONCEPT
Psaumes 55:0;VGR;65-1128E;30;VALIDE;chap->v.3: cause voix lennemi devant loppression mechant font tomber;CONCEPT
Psaumes 55:0;VGR;65-1128E;32;VALIDE;chap->v.3: cause voix lennemi devant loppression mechant font tomber;CONCEPT
Apocalypse 3:20;SKN;58-0529;12;EXACT;porte frappe quelquun quil lui moi [couverture 5/14];CONCEPT
Apocalypse 3:21;SKN;63-0825M;156;EXACT;celui vaincra lui sasseoir moi trone jai vaincu [couverture 13/14];CONCEPT
Romains 8:1;SKN;63-0825M;68;VALIDE;maintenant ceux jesus;CONCEPT
Apocalypse 3:21;VGR;63-0825M;156;EXACT;celui vaincra lui moi trone vaincu suis assis [couverture 10/14];CONCEPT
Romains 8:1;VGR;63-0825M;68;VALIDE;maintenant ceux jesus;CONCEPT
Apocalypse 4:7;SKN;65-0220;110;VALIDE;premier lion face homme aigle volant;CONCEPT
Deuteronome 16:0;SKN;65-0220;26;VALIDE;chap->v.6: lieu dieu choisi nom soir;CONCEPT
Deuteronome 16:1;SKN;65-0220;10;EXACT;mois paque dieu sortir nuit [couverture 7/14];CONCEPT
Exode 12:0;SKN;65-0220;73;VALIDE;chap->v.18: mois quatorzieme jour mois soir jour mois;CONCEPT
Exode 12:3-6;SKN;65-0220;73;VALIDE;dixieme jour mois agneau;CONCEPT
Hebreux 13:8;SKN;65-0220;108;VALIDE;jesus meme hier eternellement;CONCEPT
Luc 17:30;SKN;65-0220;108;VALIDE;meme jour fils;CONCEPT
Malachie 3:0;SKN;65-0220;107;VALIDE;chap->v.15: maintenant meme meme dieu;CONCEPT
Malachie 4:0;SKN;65-0220;108;VALIDE;chap->v.1: jour vient jour vient;CONCEPT
Malachie 4:0;SKN;65-0220;109;VALIDE;chap->v.1: jour vient jour vient;CONCEPT
Marc 16:0;SKN;65-0220;126;VALIDE;chap->v.12: choses autre forme eux etaient chemin;CONCEPT
Romains 8:1;SKN;65-0220;46;EXACT;maintenant aucune condamnation ceux christ jesus [couverture 6/6];CONCEPT
Apocalypse 4:7;VGR;65-0220;110;EXACT;premier lion face dun homme aigle volant [couverture 5/14];CONCEPT
Deuteronome 16:0;VGR;65-0220;26;VALIDE;chap->v.6: lieu dieu choisi nom soir;CONCEPT
Deuteronome 16:1;VGR;65-0220;10;EXACT;mois dabib paque leternel dieu sortir nuit degypte [couverture 11/14];CONCEPT
Exode 12:0;VGR;65-0220;73;VALIDE;chap->v.18: mois quatorzieme jour mois soir jour mois;CONCEPT
Exode 12:3;VGR;65-0220;73;VALIDE;dixieme jour mois agneau;CONCEPT
Hebreux 13:8;VGR;65-0220;108;VALIDE;jesus meme hier aujourdhui;CONCEPT
Luc 17:30;VGR;65-0220;108;VALIDE;meme jour fils lhomme;CONCEPT
Malachie 3:0;VGR;65-0220;107;VALIDE;chap->v.14: cest dieu quel quil;CONCEPT
Malachie 4:0;VGR;65-0220;108;VALIDE;chap->v.1: jour vient jour vient;CONCEPT
Malachie 4:0;VGR;65-0220;109;VALIDE;chap->v.1: jour vient jour vient;CONCEPT
Marc 16:0;VGR;65-0220;126;VALIDE;chap->v.17: ici signes accompagneront ceux auront cru nom;CONCEPT
Romains 8:1;VGR;65-0220;46;EXACT;maintenant aucune condamnation ceux christ jesus [couverture 6/6];CONCEPT
Apocalypse 5:0;VGR;57-1006;678;VALIDE;chap->v.5: lun anciens pleure voici lion tribu juda racine;CONCEPT
Apocalypse 11:0;VGR;57-1006;624;VALIDE;chap->v.6: ont ciel afin quil jours ont;CONCEPT
Apocalypse 11:0;VGR;57-1006;712;VALIDE;chap->v.11: apres trois demi vie;CONCEPT
Apocalypse 21:19;VGR;57-1006;668;EXACT;fondements muraille etaient pierre premier fondement etait jaspe [couverture 8/14];CONCEPT
Galates 1:8;VGR;57-1006;762;EXACT;ange ciel quil soit anatheme [couverture 5/11];CONCEPT
Genese 1:0;VGR;57-1006;601;VALIDE;chap->v.27: dieu crea lhomme image crea dieu crea;CONCEPT
Genese 1:28;VGR;57-1006;824;PARTIEL;commencé, pas achevé — dieu;CONCEPT
Genese 2:0;VGR;57-1006;601;VALIDE;chap->v.23: lhomme fois mes sera femme parce quelle prise;CONCEPT
Genese 2:0;VGR;57-1006;824;VALIDE;chap->v.8: dieu jardin lhomme quil avait forme;CONCEPT
Genese 5:16;VGR;57-1006;600;VALIDE;apres quil engendre;CONCEPT
Genese 38:0;VGR;57-1006;693;VALIDE;chap->v.8: juda femme frere devoir frere suscite frere;CONCEPT
Genese 38:0;VGR;57-1006;706;VALIDE;chap->v.18: quel cordon main lui lui;CONCEPT
Psaumes 23:0;VGR;57-1006;833;VALIDE;chap->v.4: meme vallee lombre mort moi;CONCEPT
Apocalypse 6:0;SKN;63-0323;141;VALIDE;chap->v.8: voici etait lui lui;CONCEPT
Apocalypse 6:0;SKN;63-0323;143;VALIDE;chap->v.9: sceau lautel parole quils;CONCEPT
Apocalypse 6:1;SKN;63-0323;157;EXACT;lagneau ouvrit lun sept sceaux jentendis quatre disant [couverture 11/14];CONCEPT
Apocalypse 6:3;SKN;63-0323;160;EXACT;ouvrit second sceau jentendis disant viens vois [couverture 8/10];CONCEPT
Apocalypse 6:3;SKN;63-0323;161;EXACT;ouvrit second sceau jentendis viens vois [couverture 7/10];CONCEPT
Apocalypse 6:5;SKN;63-0323;164;EXACT;ouvrit troisieme sceau jentendis viens vois vis voici [couverture 11/14];CONCEPT
Apocalypse 6:9;SKN;63-0323;177;EXACT;ouvrit cinquieme sceau vis lautel ames ceux avaient [couverture 12/14];CONCEPT
Apocalypse 6:12;SKN;63-0323;180;EXACT;sixieme sceau grand terre soleil [couverture 5/14];CONCEPT
Apocalypse 11:0;SKN;63-0323;306;VALIDE;chap->v.6: ont pouvoir fermer afin quil tombe pluie jours;CONCEPT
Apocalypse 13:0;SKN;63-0323;275;VALIDE;chap->v.7: fut guerre fut tribu peuple nation;CONCEPT
Apocalypse 19:0;SKN;63-0323;304;VALIDE;chap->v.15: epee sort bouche afin quil fer;CONCEPT
Apocalypse 22:0;SKN;63-0323;196;VALIDE;chap->v.2: milieu vie douze;CONCEPT
Daniel 12:0;SKN;63-0323;277;VALIDE;chap->v.1: temps levera micael grand chef peuple sera temps;CONCEPT
Daniel 12:0;SKN;63-0323;282;VALIDE;chap->v.1: temps fils sera temps quil;CONCEPT
Exode 10:21-23;SKN;63-0323;272;EXACT;leternel moise etends main pays degypte tenebres etendit [couverture 9/12];CONCEPT
Matthieu 24:0;SKN;63-0323;141;VALIDE;chap->v.21: tribulation quil monde maintenant quil;CONCEPT
Matthieu 24:0;SKN;63-0323;158;VALIDE;chap->v.6: entendrez parler guerres bruits guerres prenez garde troubles;CONCEPT
Matthieu 24:0;SKN;63-0323;166;VALIDE;chap->v.2: voyez dis ici;CONCEPT
Matthieu 24:0;SKN;63-0323;169;VALIDE;chap->v.7: nation selevera contre nation royaume contre royaume aura;CONCEPT
Matthieu 24:0;SKN;63-0323;185;VALIDE;chap->v.30: alors paraitra signe fils lhomme ciel alors tribus;CONCEPT
Matthieu 24:0;SKN;63-0323;278;VALIDE;chap->v.21: alors aura tribulation telle quil depuis jusqua maintenant;CONCEPT
Matthieu 24:0;SKN;63-0323;423;VALIDE;chap->v.21: alors quil monde maintenant quil;CONCEPT
Matthieu 24:6;SKN;63-0323;160;EXACT;entendrez parler guerres bruits prenez garde troubles faut [couverture 11/13];CONCEPT
Matthieu 24:7;SKN;63-0323;163;EXACT;nation selevera contre royaume aura famines pestes tremblements [couverture 14/14];CONCEPT
Matthieu 24:7;SKN;63-0323;172;PARTIEL;commencé, pas achevé — pestes terre;CONCEPT
Matthieu 24:9-13;SKN;63-0323;175;EXACT;alors livreront mourir serez hais nations cause nom [couverture 8/10];CONCEPT
Matthieu 24:29;SKN;63-0323;180;EXACT;aussitot apres tribulation jours soleil lune donnera lumiere [couverture 12/14];CONCEPT
Matthieu 24:29;SKN;63-0323;184;EXACT;aussitot apres tribulation jours soleil lune donnera lumiere [couverture 12/14];CONCEPT
Matthieu 27:0;SKN;63-0323;312;VALIDE;chap->v.45: depuis sixieme heure eut tenebres jusqua neuvieme heure;CONCEPT
Romains 11:0;SKN;63-0323;108;VALIDE;chap->v.22: considere dieu ceux dieu;CONCEPT
Apocalypse 6:0;SKN;65-0117;68;VALIDE;chap->v.9: sceau parole dieu;CONCEPT
Apocalypse 10:0;SKN;65-0117;68;VALIDE;chap->v.7: jours sera mystere dieu sera;CONCEPT
Apocalypse 10:0;SKN;65-0117;70;VALIDE;chap->v.7: jours sera mystere dieu sera;CONCEPT
Apocalypse 22:18;SKN;65-0117;72;VALIDE;livre ajoute dieu ajoutera;CONCEPT
Exode 19:0;SKN;65-0117;60;VALIDE;chap->v.1: sortis meme jour desert;CONCEPT
Hebreux 11:3;SKN;65-0117;85;VALIDE;parole dieu choses;CONCEPT
Hebreux 11:3;SKN;65-0117;86;VALIDE;parole dieu choses;CONCEPT
Hebreux 13:8;SKN;65-0117;115;VALIDE;jesus meme hier eternellement;CONCEPT
Hebreux 13:8;SKN;65-0117;131;VALIDE;jesus meme hier eternellement;CONCEPT
Jean 6:0;SKN;65-0117;65;VALIDE;chap->v.31: nos peres ont mange manne desert donne ciel;CONCEPT
Jean 14:12;SKN;65-0117;44;PARTIEL;commencé, pas achevé — moi parce;CONCEPT
Jean 14:12;SKN;65-0117;112;EXACT;verite dis celui fera lui fais parce [couverture 7/14];CONCEPT
Josue 10:12-14;SKN;65-0117;39;VALIDE;alors josue parla jour livra amoreens fils presence;CONCEPT
Luc 22:17;SKN;65-0117;70;LAPSUS;annoncé — dit en réalité Apocalypse 22:18;CONCEPT
Apocalypse 22:18;SKN;65-0117;70;LAPSUS-LU;lu — annoncé sous Luc 22:17;CONCEPT
Marc 11:22;SKN;65-0117;32;PARTIEL;commencé, pas achevé — dieu;CONCEPT
Apocalypse 6:0;VGR;63-0323;141;VALIDE;chap->v.8: etait lui lui;CONCEPT
Apocalypse 6:0;VGR;63-0323;143;VALIDE;chap->v.9: sceau lautel parole quils;CONCEPT
Apocalypse 6:1;VGR;63-0323;157;EXACT;lagneau ouvrit lun sept sceaux jentendis quatre disant [couverture 11/14];CONCEPT
Apocalypse 6:3;VGR;63-0323;160;EXACT;ouvrit second sceau jentendis disant viens vois [couverture 8/10];CONCEPT
Apocalypse 6:3;VGR;63-0323;161;EXACT;ouvrit second sceau jentendis viens vois [couverture 7/10];CONCEPT
Apocalypse 6:5;VGR;63-0323;164;EXACT;ouvrit troisieme sceau jentendis viens vois vis voici [couverture 11/14];CONCEPT
Apocalypse 6:9;VGR;63-0323;177;EXACT;ouvrit cinquieme sceau vis lautel ames ceux avaient [couverture 12/14];CONCEPT
Apocalypse 6:12;VGR;63-0323;180;EXACT;sixieme sceau grand terre soleil [couverture 5/14];CONCEPT
Apocalypse 11:0;VGR;63-0323;306;VALIDE;chap->v.6: ont pouvoir fermer afin quil tombe pluie jours;CONCEPT
Apocalypse 13:0;VGR;63-0323;275;VALIDE;chap->v.7: fut guerre fut tribu peuple nation;CONCEPT
Apocalypse 19:0;VGR;63-0323;304;VALIDE;chap->v.15: epee sort bouche afin quil fer;CONCEPT
Daniel 12:0;VGR;63-0323;277;VALIDE;chap->v.1: temps levera micael grand chef fils peuple sera;CONCEPT
Daniel 12:0;VGR;63-0323;282;VALIDE;chap->v.1: temps fils sera temps quil;CONCEPT
Exode 10:21-23;VGR;63-0323;272;EXACT;leternel moise etends main pays degypte tenebres etendit [couverture 9/12];CONCEPT
Matthieu 24:0;VGR;63-0323;141;VALIDE;chap->v.21: alors tribulation quil monde maintenant quil;CONCEPT
Matthieu 24:0;VGR;63-0323;158;VALIDE;chap->v.6: entendrez parler guerres bruits guerres prenez garde troubles;CONCEPT
Matthieu 24:0;VGR;63-0323;166;VALIDE;chap->v.2: voyez dis ici;CONCEPT
Matthieu 24:0;VGR;63-0323;169;VALIDE;chap->v.7: nation selevera contre nation royaume contre royaume aura;CONCEPT
Matthieu 24:0;VGR;63-0323;185;VALIDE;chap->v.30: alors paraitra signe fils lhomme ciel alors tribus;CONCEPT
Matthieu 24:0;VGR;63-0323;278;VALIDE;chap->v.21: alors aura tribulation telle quil depuis jusqua maintenant;CONCEPT
Matthieu 24:0;VGR;63-0323;423;VALIDE;chap->v.21: alors quil monde maintenant quil;CONCEPT
Matthieu 24:6;VGR;63-0323;160;EXACT;entendrez parler guerres bruits prenez garde troubles faut [couverture 11/13];CONCEPT
Matthieu 24:7;VGR;63-0323;163;EXACT;nation selevera contre royaume aura famines pestes tremblements [couverture 14/14];CONCEPT
Matthieu 24:7;VGR;63-0323;172;PARTIEL;commencé, pas achevé — pestes terre;CONCEPT
Matthieu 24:9-13;VGR;63-0323;175;EXACT;alors mourir serez hais nations cause nom plusieurs [couverture 7/10];CONCEPT
Matthieu 24:29;VGR;63-0323;180;EXACT;aussitot apres tribulation jours soleil lune donnera lumiere [couverture 12/14];CONCEPT
Matthieu 24:29;VGR;63-0323;184;EXACT;aussitot apres tribulation jours soleil lune donnera lumiere [couverture 12/14];CONCEPT
Matthieu 27:0;VGR;63-0323;312;VALIDE;chap->v.45: depuis sixieme heure eut tenebres jusqua neuvieme heure;CONCEPT
Romains 11:0;VGR;63-0323;108;VALIDE;chap->v.26: israel sera sauve quil;CONCEPT
Apocalypse 6:1;SKN;61-0730M;71;PARTIEL;commencé, pas achevé — vis sceaux;CONCEPT
Apocalypse 7:0;SKN;61-0730M;117;VALIDE;chap->v.12: amen gloire sagesse lhonneur puissance force dieu siecles;CONCEPT
Apocalypse 10:0;SKN;61-0730M;63;VALIDE;chap->v.6: celui vit siecles siecles lequel ciel terre mer;CONCEPT
Apocalypse 19:21;SKN;61-0730M;71;PARTIEL;commencé, pas achevé — etait;CONCEPT
Genese 44:0;SKN;61-0730M;138;VALIDE;chap->v.26: pouvons alors pouvons voir homme nest;CONCEPT
Jeremie 32:6;SKN;61-0730M;60;PARTIEL;commencé, pas achevé — jeremie;CONCEPT
Malachie 4:0;SKN;61-0730M;151;VALIDE;chap->v.6: fera peres fils fils peres;CONCEPT
Matthieu 24:0;SKN;61-0730M;107;VALIDE;chap->v.15: verrez labomination desolation parle daniel prophete etablie lieu;CONCEPT
Matthieu 24:0;SKN;61-0730M;145;VALIDE;chap->v.2: voyez dis sera laisse soit;CONCEPT
Matthieu 24:15;SKN;61-0730M;109;EXACT;verrez labomination desolation parle daniel prophete etablie lieu [couverture 12/12];CONCEPT
Psaumes 99:0;SKN;61-0730M;10;VALIDE;chap->v.7: parla ont avait donne;LECTURE
Psaumes 99:0;SKN;61-0730M;12;VALIDE;chap->v.7: ont quil donne;CONCEPT
Psaumes 99:0;SKN;61-0730M;23;VALIDE;chap->v.4: force roi aime justice toi droiture exerces justice;CONCEPT
