ref;traduction;code;paragraphe;statut;note
Hebreux 13:8;SKN;56-0225;9;VALIDE;jesus meme hier aujourdhui eternellement
Jean 5:0;SKN;56-0225;50;VALIDE;chap->v.4: ange descendait agitait leau premier apres leau avait
Jean 5:0;SKN;56-0225;52;VALIDE;chap->v.4: ange descendait agitait leau premier apres leau avait
Jean 5:7;SKN;56-0225;59;EXACT;lui seigneur nai personne leau pendant moi [couverture 7/14]
Jean 5:19;SKN;56-0225;57;EXACT;jesus verite dis fils rien lui meme quil [couverture 8/14]
Jean 14:7;SKN;56-0225;59;PARTIEL;commencé, pas achevé — pere maintenant
Luc 16:16;SKN;56-0225;26;VALIDE;loi prophetes ont jusqua jean lors royaume dieu
1 Corinthiens 12:0;SKN;56-0723;24;VALIDE;chap->v.3: cest pourquoi savoir homme lesprit dieu jesus seigneur
Luc 24:49;SKN;56-0723;51;VALIDE;voici moi ville jusqua soyez revetus puissance den
Marc 11:24;SKN;56-0723;51;VALIDE;cest dis sera
Romains 8:1;SKN;56-0723;11;VALIDE;maintenant aucune condamnation ceux christ jesus
1 Corinthiens 12:0;SKN;56-1207;28;VALIDE;chap->v.3: cest pourquoi fais homme lesprit dieu jesus seigneur
Actes 19:0;SKN;56-1207;9;VALIDE;chap->v.4: paul peuple quils celui venait lui cest
Jean 5:19;SKN;56-1207;30;EXACT;jesus verite dis fils rien lui meme quil [couverture 7/14]
1 Corinthiens 12:0;SKN;57-0114;15;VALIDE;chap->v.3: cest fais homme lesprit dieu jesus seigneur jesus
Actes 4:0;SKN;57-0114;64;VALIDE;chap->v.10: peuple nom jesus christ dieu ressuscite dentre morts
Hebreux 13:8;SKN;57-0114;49;VALIDE;jesus christ meme hier aujourdhui eternellement
Jean 4:0;SKN;57-0114;113;VALIDE;chap->v.10: jesus lui don dieu celui donne moi boire
Jean 5:0;SKN;57-0114;76;VALIDE;chap->v.4: ange agitait leau premier entrait apres leau avait
Jean 5:19;SKN;57-0114;45;EXACT;jesus dis fils rien lui meme quil pere [couverture 8/14]
Jean 14:7;SKN;57-0114;69;PARTIEL;commencé, pas achevé — connu
Marc 16:0;SKN;57-0114;52;VALIDE;chap->v.6: lui jesus ressuscite nest ici voici mis
Psaumes 103:3;SKN;57-0114;34;VALIDE;cest lui tes guerit
1 Corinthiens 12:0;SKN;57-0908M;113;VALIDE;chap->v.13: avons seul esprit seul corps soit soit soit
1 Corinthiens 12:0;SKN;57-0908M;117;VALIDE;chap->v.12: corps corps soient seul corps ainsi christ
Hebreux 10:0;SKN;57-0908M;169;VALIDE;chap->v.26: volontairement apres recu connaissance verite reste sacrifice
Romains 8:1;SKN;57-0908M;109;EXACT;maintenant aucune condamnation ceux christ jesus [couverture 6/6]
1 Corinthiens 12:0;SKN;57-1002;361;VALIDE;chap->v.13: avons baptises seul esprit seul corps soit soit
1 Corinthiens 12:0;SKN;57-1002;364;VALIDE;chap->v.9: autre meme esprit autre dons grace meme esprit
1 Jean 5:7;SKN;57-1002;477;EXACT;trois rendent temoignage [couverture 3/3]
Actes 2:27;SKN;57-1002;376;PARTIEL;commencé, pas achevé — ame saint
Actes 7:55;SKN;57-1002;440;VALIDE;saint ciel dieu jesus
Actes 19:0;SKN;57-1002;366;VALIDE;chap->v.2: avez recu saint cru meme saint
Apocalypse 5:0;SKN;57-1002;354;VALIDE;chap->v.1: vis etait assis
Apocalypse 5:0;SKN;57-1002;548;VALIDE;chap->v.7: livre main etait
Apocalypse 11:0;SKN;57-1002;354;VALIDE;chap->v.11: apres trois demi vie dieu pieds
Apocalypse 11:0;SKN;57-1002;548;VALIDE;chap->v.9: corps mort trois corps
Apocalypse 21:0;SKN;57-1002;548;VALIDE;chap->v.11: gloire etait pierre pierre
Apocalypse 21:19;SKN;57-1002;354;VALIDE;etaient pierre etait
Ephesiens 1:20;SKN;57-1002;440;PARTIEL;commencé, pas achevé — droite
Ephesiens 1:20;SKN;57-1002;451;EXACT;christ ressuscitant morts asseoir droite lieux celestes [couverture 7/10]
Esaie 9:6;SKN;57-1002;497;PARTIEL;commencé, pas achevé — fils sera
