ref;traduction;code;paragraphe;statut;cadre;note
Esaie 35:2;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v2 (9 mots: carmel donnee fleurira lallegresse leternel liban magnificence saron)
Esaie 35:3;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v3 (4 mots: affermissez chancellent fortifiez genoux)
Esaie 35:4;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v4 (5 mots: craignez retribution sauvera vengeance viendra)
Esaie 35:5;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v5 (3 mots: oreilles sourds souvriront)
Esaie 35:6;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v6 (9 mots: boiteux cerf desert eaux jailliront joie langue muet)
Esaie 35:7;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v7 (7 mots: aura chacals etang joncs mirage roseaux sources)
Esaie 35:8;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v8 (5 mots: aura chemin insenses passera route)
Esaie 35:9;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v9 (5 mots: aura bete lion marcheront rachetes)
Esaie 35:10;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v10 (10 mots: chants delivres eternelle joie lallegresse leternel retourneront senfuiront)
Marc 11:24;SKN;52-0900;190;EXACT;CONCEPT;cest dis demanderez priant croyez [couverture 5/8]
1 Corinthiens 12:12;SKN;54-0301;29;VALIDE;CONCEPT;chapitre résolu v12 (3 mots: membres plusieurs soient)
Jean 5:19;SKN;54-0301;49;EXACT;CONCEPT;jesus dis rien lui meme quil chose pere [couverture 7/14]
Actes 2:38;SKN;54-1219E;35;EXACT;CONCEPT;pierre repentez chacun soit baptise nom jesus peches [couverture 11/14]
Jean 5:24;SKN;54-1219E;124;VALIDE;CONCEPT;chapitre résolu v24 (3 mots: croit envoye eternelle)
Actes 19:4;SKN;56-0223;62;VALIDE;CONCEPT;chapitre résolu v4 (4 mots: bapteme baptise croient paul)
Ephesiens 1:25;SKN;56-0223;15;LAPSUS;CONCEPT;annoncé — dit en réalité colossiens 1:25
colossiens 1:25;SKN;56-0223;15;LAPSUS-LU;CONCEPT;lu — annoncé sous Ephesiens 1:25
Romains 4:3;SKN;56-0223;45;VALIDE;CONCEPT;chapitre résolu v3 (3 mots: crut fut justice)
Romains 4:18;SKN;56-0223;45;VALIDE;CONCEPT;chapitre résolu v18 (3 mots: crut esperance selon)
Romains 4:20;SKN;56-0223;45;VALIDE;CONCEPT;chapitre résolu v20 (3 mots: donnant fortifie fut)
1 Corinthiens 12:28;SKN;56-0225;15;VALIDE;CONCEPT;chapitre résolu v28 (6 mots: apotres docteurs dons langues prophetes uns)
1 Corinthiens 12:29;SKN;56-0225;15;VALIDE;CONCEPT;chapitre résolu v29 (3 mots: apotres docteurs prophetes)
Hebreux 13:8;SKN;56-0225;9;VALIDE;LECTURE;jesus meme hier aujourdhui eternellement
Jean 5:3;SKN;56-0225;50;VALIDE;CONCEPT;chapitre résolu v3 (5 mots: attendant boiteux couches leau mouvement)
Jean 5:4;SKN;56-0225;50;VALIDE;CONCEPT;chapitre résolu v4 (8 mots: agitait agitee ange descendait gueri leau maladie premier)
Jean 5:7;SKN;56-0225;50;VALIDE;CONCEPT;chapitre résolu v7 (3 mots: agitee descend leau)
Jean 5:10;SKN;56-0225;50;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: dirent gueri juifs)
Jean 5:3;SKN;56-0225;52;VALIDE;CONCEPT;chapitre résolu v3 (5 mots: attendant boiteux couches leau mouvement)
Jean 5:4;SKN;56-0225;52;VALIDE;CONCEPT;chapitre résolu v4 (8 mots: agitait agitee ange descendait gueri leau maladie premier)
Jean 5:7;SKN;56-0225;59;EXACT;CONCEPT;lui seigneur nai personne leau pendant moi [couverture 7/14]
Jean 5:19;SKN;56-0225;57;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 8/14]
Jean 14:7;SKN;56-0225;59;PARTIEL;CONCEPT;commencé, pas achevé — pere maintenant
Luc 16:16;SKN;56-0225;26;VALIDE;CONCEPT;loi prophetes ont jusqua jean lors royaume dieu
1 Corinthiens 12:30;SKN;56-0723;24;VALIDE;CONCEPT;chapitre résolu v30 (3 mots: dons langues parlent)
Luc 24:49;SKN;56-0723;51;VALIDE;CONCEPT;voici moi ville jusqua soyez revetus puissance den
Marc 11:24;SKN;56-0723;51;VALIDE;CONCEPT;cest dis sera
Romains 8:1;SKN;56-0723;11;VALIDE;CONCEPT;maintenant aucune condamnation ceux christ jesus
1 Corinthiens 12:8;SKN;56-1207;28;VALIDE;CONCEPT;chapitre résolu v8 (3 mots: connaissance donnee sagesse)
1 Corinthiens 12:28;SKN;56-1207;28;VALIDE;CONCEPT;chapitre résolu v28 (5 mots: apotres dabord docteurs dons prophetes)
1 Corinthiens 12:29;SKN;56-1207;28;VALIDE;CONCEPT;chapitre résolu v29 (3 mots: apotres docteurs prophetes)
Actes 19:21;SKN;56-1207;9;VALIDE;CONCEPT;chapitre résolu v21 (3 mots: daller passer paul)
Jean 5:19;SKN;56-1207;30;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 7/14]
1 Corinthiens 12:28;SKN;57-0114;15;VALIDE;CONCEPT;chapitre résolu v28 (3 mots: diverses dons uns)
Actes 4:36;SKN;57-0114;64;VALIDE;CONCEPT;chapitre résolu v36 (3 mots: etant fut joseph)
Hebreux 13:8;SKN;57-0114;49;VALIDE;CONCEPT;jesus christ meme hier aujourdhui eternellement
Jean 5:3;SKN;57-0114;76;VALIDE;CONCEPT;chapitre résolu v3 (3 mots: boiteux couches leau)
Jean 5:4;SKN;57-0114;76;VALIDE;CONCEPT;chapitre résolu v4 (6 mots: agitait ange entrait gueri leau premier)
Jean 5:6;SKN;57-0114;76;VALIDE;CONCEPT;chapitre résolu v6 (4 mots: couche etat gueri voyant)
Jean 5:7;SKN;57-0114;76;VALIDE;CONCEPT;chapitre résolu v7 (3 mots: descend leau nai)
Jean 5:19;SKN;57-0114;45;EXACT;CONCEPT;jesus dis fils rien lui meme quil pere [couverture 8/14]
Jean 14:7;SKN;57-0114;69;PARTIEL;CONCEPT;commencé, pas achevé — connu
Marc 16:17;SKN;57-0114;52;VALIDE;CONCEPT;chapitre résolu v17 (3 mots: accompagneront auront cru)
Psaumes 103:3;SKN;57-0114;34;VALIDE;CONCEPT;cest lui tes guerit
Hebreux 10:1;SKN;57-0908M;169;VALIDE;CONCEPT;chapitre résolu v1 (3 mots: ayant memes rendre)
Hebreux 10:26;SKN;57-0908M;169;VALIDE;CONCEPT;chapitre résolu v26 (3 mots: connaissance sacrifice volontairement)
Romains 8:1;SKN;57-0908M;109;EXACT;CONCEPT;maintenant aucune condamnation ceux christ jesus [couverture 6/6]
1 Jean 5:7;SKN;57-1002;477;EXACT;CONCEPT;trois rendent temoignage [couverture 3/3]
Actes 2:27;SKN;57-1002;376;PARTIEL;CONCEPT;commencé, pas achevé — ame saint
Actes 7:55;SKN;57-1002;440;VALIDE;CONCEPT;saint ciel dieu jesus
Actes 19:1;SKN;57-1002;366;VALIDE;CONCEPT;chapitre résolu v1 (4 mots: apollos disciples ephese paul)
Actes 19:4;SKN;57-1002;366;VALIDE;CONCEPT;chapitre résolu v4 (3 mots: bapteme baptise paul)
Apocalypse 21:19;SKN;57-1002;354;VALIDE;CONCEPT;etaient pierre etait
Ephesiens 1:20;SKN;57-1002;440;PARTIEL;CONCEPT;commencé, pas achevé — droite
Ephesiens 1:20;SKN;57-1002;451;EXACT;CONCEPT;christ ressuscitant morts asseoir droite lieux celestes [couverture 7/10]
Esaie 9:6;SKN;57-1002;497;PARTIEL;CONCEPT;commencé, pas achevé — fils sera
Genese 38:24;SKN;57-1002;548;VALIDE;CONCEPT;chapitre résolu v24 (3 mots: belle fille prostituee)
Jean 5:7;SKN;57-1002;479;PARTIEL;CONCEPT;commencé, pas achevé — lui
Jean 5:24;SKN;57-1002;377;EXACT;CONCEPT;parole croit vie eternelle vient mort [couverture 5/14]
Marc 14:62;SKN;57-1002;440;EXACT;CONCEPT;jesus suis verrez fils assis droite puissance venant [couverture 10/11]
Psaumes 16:10;SKN;57-1002;408;VALIDE;CONCEPT;ame permettras saint voie corruption
Romains 8:1;SKN;57-1002;400;EXACT;CONCEPT;maintenant aucune condamnation ceux christ jesus [couverture 6/6]
