ref;traduction;code;paragraphe;statut;raison
Esther 21:0;SKN;63-1103;198;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 21:0;SKN;64-0823E;249;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 22:0;SKN;61-0517;75;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 22:0;SKN;62-0118;174;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 22:0;SKN;63-0901E;181;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jacques 16:0;SKN;63-0901E;76;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 34:0;SKN;48-0302;86;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 85:0;SKN;57-0326;109;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 85:86;SKN;56-0420;51;VERSET-ABSENT-BIBLE;référence inexistante, hypothèse faible
Esther 92:0;SKN;56-0420;51;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 87:0;SKN;54-0624;31;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 121:0;SKN;58-0108;144;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 126:0;SKN;58-0108;139;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Ezechiel 4:0;VGR;59-0125;90;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;64-0121;210;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;63-0731;168;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;64-0321E;207;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;64-0321E;216;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;64-0321E;161;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Psaumes 64:0;SKN;55-0120;18;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Romains 8:20;SKN;55-0222;44;REJETE;passage absent, idée absente
Hebreux 3:0;VGR;64-0305;212;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Psaumes 32:0;VGR;58-0225;2;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;64-0405;113;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jeremie 1:4;VGR;57-0915E;128;REJETE;passage absent, idée absente
Jean 14:7;VGR;60-0604;150;REJETE;passage absent, idée absente
Matthieu 4:12-17;SKN;60-0210E;5;REJETE;passage absent, idée absente
Malachie 4:0;VGR;62-0513M;342;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Psaumes 47:0;SKN;57-0630;36;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Psaumes 47:0;SKN;57-0811A;43;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Psaumes 100:0;SKN;62-1104E;36;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
