ref;traduction;code;paragraphe;nb_mots;mots
Luc 2:27;SKN;55-1001;11;7;apportaient egard loi parents selon temple vint
Luc 7:36;SKN;55-1002;2;6;manger mit pharisien pharisiens pria table
Luc 7:38;SKN;55-1002;57;5;baisers cheveux essuyait larmes pieds
Luc 7:45;SKN;55-1002;57;3;baiser baisers pieds
Luc 7:45;SKN;55-1002;59;3;baiser cesse pieds
Luc 7:44;SKN;55-1002;60;3;essuyes larmes pieds
Luc 11:29;SKN;55-1008;81;4;foules generation jonas mechante
Luc 17:20;SKN;55-1008;81;4;etant interroge maniere royaume
Luc 10:7;SKN;55-1009;8;3;digne offert salaire
Luc 17:15;SKN;55-1111;58;3;glorifiant haute voix
Luc 17:20;SKN;55-1115;37;3;attirer lattention maniere
Luc 21:24;SKN;56-0108;11;3;lepee seront tranchant
Luc 17:27;SKN;56-0115;12;4;donnait mariage mariait noe
Luc 24:32;SKN;56-0200;8;5;brulait chemin dedans lorsquil parlait
Luc 2:4;SKN;56-0200;22;3;joseph judee nazareth
Luc 7:36;SKN;56-0218E;3;5;manger mit pharisien pria table
Luc 7:38;SKN;56-0218E;74;3;essuyait larmes pieds
Luc 7:39;SKN;56-0218E;78;4;pecheresse pharisien touche voyant
Luc 7:44;SKN;56-0218E;79;6;cheveux essuyes larmes mas pieds simon
Luc 7:45;SKN;56-0218E;79;4;baiser cesse mas pieds
Luc 2:27;SKN;56-0219;33;6;apportaient egard loi selon temple vint
Luc 2:34;SKN;56-0219;33;3;benit israel simeon
Luc 24:28;SKN;56-0401M;10;3;allaient loin village
Luc 24:31;SKN;56-0401M;10;3;disparut furent reconnurent
Luc 24:13;SKN;56-0401M;22;3;chemin emmaus stades
Luc 24:32;SKN;56-0405;9;6;brulait chemin dedans dirent lorsquil parlait
Luc 24:13;SKN;56-0405;27;3;chemin emmaus village
Luc 3:16;SKN;56-0408E;22;4;baptise baptisera delier digne
Luc 2:27;SKN;56-0415;15;7;apportaient egard loi parents selon temple vint
Luc 2:4;SKN;56-0415;16;3;bethlehem david judee
Luc 24:32;SKN;56-0415;47;5;brulait chemin dedans lorsquil parlait
Luc 24:32;SKN;56-0420;26;5;brulait chemin dedans dirent parlait
Luc 24:23;SKN;56-0421;79;4;quelles venues vision vivant
Luc 24:23;SKN;56-0422;79;4;quelles venues vision vivant
Luc 7:38;SKN;56-0513;1;5;cheveux couvrait larmes pieds tenant
